,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Sunnyside,3,Sunnyside Recreation Center. Melrose to Mangels.,,https://photos.app.goo.gl/DVuLbzDnfNs3Ax7c7,,
,Sunnyside,2,Congo @ Mangels. Need to double check if these are private.,,https://photos.app.goo.gl/QLnrqVj29By7ahLj6,,
,Sunnyside,2,Monterey: Upper Monterey to Lower Monterey at Miramar.,,https://photos.app.goo.gl/gcrjRpdcvsvDTUXL9,,
,Sunnyside,1,Congo at Monterey. Few steps for no apparent reason. ;),4,https://photos.app.goo.gl/K7V35hnDuprtg6zd7,,
,Sunnyside,1,"Foerster at Melrose, across from Sunnyside Playground. Two steps.",,https://photos.app.goo.gl/XQ6v821sreX3MULe9,,
,Sunset (Outer),1,"Sunset Recreation Center. 28th Ave., down to center and basketball courts.",5,https://photos.app.goo.gl/3eyhHoZbKVfX2SVy9,,
,Sunset (Outer),1,"Sunset Recreation Center. 29th Ave., just north of tennis courts.",10,https://photos.app.goo.gl/MdR1TbFs3MyndQRa7,,
,Telegraph Hill,5,Filbert/Telegraph Hill Blvd. & Montgomery & Sansome. The Filbert Street Steps.,,https://photos.app.goo.gl/K6A2DGemBTCbMHUCA,,
,Telegraph Hill,5,"Filbert/Varennes & Kearny, sidewalk stairways on both sides of the street.",,https://photos.app.goo.gl/PYWdB5m5CH8RoAY16 and https://photos.app.goo.gl/LwcRc1PrHzyEtWyz6,,
,Telegraph Hill,5,Greenwich/Telegraph Hill Blvd. & Montgomery & Sansome. The Greenwich Street Steps.,,https://photos.app.goo.gl/SVGgFpaMKSdj7TZw5,,
,Telegraph Hill,5,"Lombard at Telegraph Hill Blvd., near Kearny.",,https://photos.app.goo.gl/KvBZLFJ16RtpEMAs6,,
,Telegraph Hill,4,Coit Tower path (west side) down to Telegraph Hill Blvd.,,https://photos.app.goo.gl/U6fHBhbe524hkQpx7,,
,Telegraph Hill,4,Coit Tower. Down to path (west side).,,https://photos.app.goo.gl/bSY6GnZFQahdRJhV9,,
,Telegraph Hill,4,Coit Tower. Rear path to Telegraph Hill Blvd. (south side).,,https://photos.app.goo.gl/mU8FhdQ2cpE99s689,,
,Telegraph Hill,4,Francisco/Kearny & Grant.,,https://photos.app.goo.gl/ckgEYLJePcgiTnNn9,,
,Telegraph Hill,4,Grant/Francisco & Chestnut. Into Jack Early Park.,,https://photos.app.goo.gl/Af1MASVWRcASb9oM8,,
,Telegraph Hill,4,Greenwich/Grant & Telegraph Hill Blvd. Multiple stairways along block,,https://photos.app.goo.gl/pNopE1Uiu9Up3hK87,,
,Telegraph Hill,4,Montgomery/Green & Union.,,https://photos.app.goo.gl/g3D3FoKQF9fEjeEB6,,
,Telegraph Hill,4,Telegraph Hill Blvd. at Greenwich Stairway (west side).,,https://photos.app.goo.gl/XvYb3a1k2bbL8pEL8,,
,Telegraph Hill,4,Union/Calhoun & east cliff of Telegraph Hill.,,https://photos.app.goo.gl/v1iVWdATaKjfLAox9,,
,Telegraph Hill,4,Vallejo/Montgomery & Kearny.,,https://photos.app.goo.gl/D7zmdVd4PorwgUVw5,,
,Telegraph Hill,3,Child/Lombard & Telegraph Place.,,https://photos.app.goo.gl/WZv1Q2smyPe11LTy9,,
,Telegraph Hill,3,Coit Tower. Paved Path up to Rear lawn.,,https://photos.app.goo.gl/V17VZkuK7f9EPKWs5,,
,Telegraph Hill,3,Coit Tower. Rear lawn area. Pioneer Park.,,https://photos.app.goo.gl/KNZwm2Y7aNGmAquD9,,
,Telegraph Hill,3,Filbert/Grant & Varennes. Sidewalk stairway.,,https://photos.app.goo.gl/MFpQTUrQ727VNLKAA,,
,Telegraph Hill,3,Filbert/Kearny & Telegraph Hill Blvd.,,https://photos.app.goo.gl/PhtvzsaCGzNK1jDz8,,
,Telegraph Hill,3,Jack Micheline Place (formerly Pardee Alley)/Grant & Kramer.,,https://photos.app.goo.gl/ynus5qtX7pRt5yuo9,,
,Telegraph Hill,3,Julius/Lombard & Whiting.,,https://photos.app.goo.gl/GQzggBkc2EtsufYT6,,
,Telegraph Hill,2,Bartol Alley at No. 379 Broadway to Vallejo.,,https://photos.app.goo.gl/ZPDbNRpwKoKBsXBQ7,,
,Telegraph Hill,2,Coit Tower. Entrance (north side).,,https://photos.app.goo.gl/tNW9QFKrpU8NFmtPA,,
,Telegraph Hill,2,Coit Tower. Pioneer Park north side along walking on circular part of Telegraph Hill Blvd.,,https://photos.app.goo.gl/6o5RySi6zLaRzq6w5,,
,Telegraph Hill,2,Filbert Street at Genoa Place. Few steps in the sidewalk.,10,https://photos.app.goo.gl/m4L9ysYyoQ5LrCVa6,,
,Telegraph Hill,2,San Antonio Place/Vallejo & Kearny.,,https://photos.app.goo.gl/Kq72efKAv6f7maDL8,,
,Telegraph Hill,2,Union at Sansome.,,https://photos.app.goo.gl/J86Xat9EoLacjbJt9,,
,Telegraph Hill,1,Fresno St./Romolo & Kearny. Two steps.,,https://photos.app.goo.gl/54zFywWwbtbhme7b6,,
,Telegraph Hill,1,Hodges Alley. Two steps.,,https://photos.app.goo.gl/hSYTB9Txy3ra3wBt7,,
,Telegraph Hill,1,"Krausgrill at Filbert, near Stockton.",,https://photos.app.goo.gl/spGeuNLhj7zpBKNE7,,
,Telegraph Hill,1,Pollard and Vallejo. Two steps in sidewalk,,https://photos.app.goo.gl/JbYR8cwN9BvsRJkz6,,
,Telegraph Hill,1,Sansome St./Broadway & Pacific. One step!,,https://photos.app.goo.gl/5VivX3hGXV8Axg5TA,,
,Telegraph Hill,1,Union at Icehouse Alley/Sansome & Battery.,,https://photos.app.goo.gl/frReLKBBQuqG2xUKA,,
,Telegraph Hill,1,Vallejo at No. 474/Montgomery & Kearny.,,https://photos.app.goo.gl/RBWMuhT6sVeSwaz46,,
,Telegraph Hill,1,Vallejo/Sansome & Battery at Cowell.,,https://photos.app.goo.gl/qX1H87zDs2Z9tZbZ7,,
,Twin Peaks,5,Pemberton Place/Crown & Clayton.,,https://photos.app.goo.gl/8cTfJUfBT9WxzzJH6,,
,Twin Peaks,5,Twin Peaks: Eureka Peak.,,https://photos.app.goo.gl/bvEDyRapQtDpvF5x8,,
,Twin Peaks,5,Twin Peaks: Noe Peak.,,https://photos.app.goo.gl/qwMR8tTmkj4Nr8Zq9,,
,Twin Peaks,4,Clayton at Corbett. Alongside community garden.,,https://photos.app.goo.gl/g9MJYRn39rVAi7bCA,,
,Twin Peaks,4,Crestline across from no. 74. Wood stairs up to Twin Peaks Blvd.,,"https://photos.app.goo.gl/AzoKT9Z2QVhs4azq5
and
https://photos.app.goo.gl/3CLPDCfqw2YUgUmM6",,
,Twin Peaks,4,"Iron Alley/No. 495 Corbett & No. 1499 Clayton, with an extension to Graystone.",,https://photos.app.goo.gl/CuBp375TYYZnw8Lb8,,
,Twin Peaks,4,Stanyan at Clarendon.,,https://photos.app.goo.gl/tXsgRTJpatpqPJ9M9,,
,Twin Peaks,4,"Twin Peaks Blvd. (lower) to Twin Peaks Blvd. (upper), opposite the end of Midcrest.",,https://photos.app.goo.gl/KvJJQRW27Bsro1En9,,
,Twin Peaks,4,Twin Peaks Boulevard up to Noe Peak.,,https://photos.app.goo.gl/LGQEXXsPFCg1AdmW9,,
,Twin Peaks,3,Argent Alley at Corbett & Hopkins. Leads down to a dirt road.,,https://photos.app.goo.gl/X66ci4LDsnVKqgnX9,,
,Twin Peaks,3,Clayton & Market.,,https://photos.app.goo.gl/6BrUvKFaC1mhPMx6A,,
,Twin Peaks,3,"Copper/Graystone & Corbett, next to No. 301 Graystone & No. 592 Corbett.",,https://photos.app.goo.gl/YcSC5XestdP1RGVf6,,
,Twin Peaks,3,"Cuesta Court, No. 42 to 959 Corbett.",,https://photos.app.goo.gl/cgoA8K2tVMo5N9i78,,
,Twin Peaks,3,Twin Peaks Blvd. and Raccoon Dr.,,https://photos.app.goo.gl/91HWyHREnimQLzpW9,,
,Twin Peaks,3,"Twin Peaks Blvd., next to No. 192, opposite Crown Terrace up to Tank Hill.",,https://photos.app.goo.gl/MyVmLCSEEHpzwsfG6,,
,Twin Peaks,2,Burnett at Hopkins to Upper Burnett to Gardenside at No. 120.,,https://photos.app.goo.gl/tFiLkvZAbKP6KWzh7,,
,Twin Peaks,2,Corbett Slope Community Park. Few wood steps.,,https://photos.app.goo.gl/NQBCmw5Bx1kDBzAPA,,
,Twin Peaks,2,Cuesta Court.,,https://photos.app.goo.gl/gJfEyLm2SkNWSuvo7,,
,Twin Peaks,2,Fredela Lane/Clairview Court & Farview Court.,,https://photos.app.goo.gl/YQ7N2qZheCbfVv4EA,,
,Twin Peaks,2,Fredela Lane/Lower Marview & Clairview Court.,,https://photos.app.goo.gl/WuXxgLhy1saHjVoS6,,
,Twin Peaks,2,Glendale at Corbett.,,https://photos.app.goo.gl/toRCHaSpatrSw9F89,,
,Twin Peaks,2,Vista Lane/Burnett at No. 535 to Gardenside to Parkridge.,,https://photos.app.goo.gl/Jr6yr23wSAucm2P58,,
,Twin Peaks,2,Vista Lane/Burnett Parkridge. to Crestline at No. 70.,,https://photos.app.goo.gl/CXXRp1RkMVAckDnF8,,
,Twin Peaks,1,"Market, opposite No. 3801.",,https://photos.app.goo.gl/mFV9SKPuL3Nqyt6R8,,
,Twin Peaks,1,Market/Romain & Glendale.,,https://photos.app.goo.gl/3ANtkYLRZALEUE3g9,,
,Upper Market,5,Vulcan/Levant & Ord. Caring neighbors and cobblestone—not to be missed.,,https://photos.app.goo.gl/fT6cxG9Xqgf6q5wEA,,
,Upper Market,4,"Ashbury Terrace, next to No. 64.1911-1912 development.",,https://photos.app.goo.gl/ui4zWdthGhm7BhFJ9,,
,Upper Market,4,Saturn/end of Saturn & Ord. Redesigned by Department of Public Works. Benches and planted areas augment curving stairway.,,https://photos.app.goo.gl/kSBVi84ZsjUui6qZA,,
,Upper Market,4,Upper Terrace. No. 480 at Mt. Olympus down to Upper Terrace No. 227. View. Neighborly.,,https://photos.app.goo.gl/ndPPPxcyANnDWkku7,,
,Upper Market,3,Corbett & Mars.,,https://photos.app.goo.gl/QcXjmChPMcoRcMrX9,,
,Upper Market,3,Corbin Place/No. 200 Corbett & No. 4399 17th St.,,https://photos.app.goo.gl/f1iQ7ZouhKDk98P47,,
,Upper Market,3,Danvers/18th St. & Market. A 1946 stairway.,,https://photos.app.goo.gl/EcU4z9SaLhPZoDUV9,,
,Upper Market,3,"Douglass/States & 17th St. Charming, tree-lined cul-de-sac, with an assortment of Victorians.",,https://photos.app.goo.gl/2VyM3skwasmjKRqW8,,
,Upper Market,3,Levant/States & Roosevelt. High retaining wall covered with vines. Butterflies and chickadees abound in the foliage. Curved street complements stairway.,,https://photos.app.goo.gl/VxnBLs1CRiDucv3P7,,
,Upper Market,3,Lower Terrace & Saturn.,,https://photos.app.goo.gl/3azjLvxVXQ47n2jT9,,
,Upper Market,3,"Ord/Storrie & Market, down to Ord at 18th St. Happy wall mural on No. 176 Ord at end of stairway.",,https://photos.app.goo.gl/TwwUo7VpeKhzmP6U9,,
,Upper Market,3,Saturn/Lower Terrace and top of Saturn Stairway Seven useful stairways interacting with sidewalk and street.,,https://photos.app.goo.gl/UkCA7AZ4w7zrvQQZ7,,
,Upper Market,3,"Upper Terrace. Monument Way at 17th Ave./Clayton & Roosevelt, to Upper Terrace. View. ",,https://photos.app.goo.gl/2ZnD731oZ4cURqZy9,,
,Upper Market,3,Upper Terrace. Steps to Mt. Olympus monument.,,https://photos.app.goo.gl/zgRHL5T5vZQUSDjf7,,
,Upper Market,2,17th St. & Mars. Rounding a corner.,,https://photos.app.goo.gl/Liz2rgkXG3uJwTaG9,,
,Upper Market,2,Ashbury/No. 57 & No. 81 Ashbury Terrace. Seven small stairways between street and sidewalk.,,https://photos.app.goo.gl/itMqqSbv8h2x8UyP9,,
,Upper Market,2,Clifford Terrace at Roosevelt No. 475.,,https://photos.app.goo.gl/MM3yEXP7wfenQn8g9,,
,Upper Market,2,Loma Vista/Roosevelt Way. Few small stairways along west side of block.,,https://photos.app.goo.gl/LMeVbYzX4KMAPqhJ9,,
,Upper Market,2,Ord Court at No. 2 to Douglass cul-de-sac. Surprise.,,https://photos.app.goo.gl/5XeUVDhisZynv4aM6,,
,Upper Market,2,Roosevelt Way to Lower Terrace No.180. Alongside Lower Terrace Greenspace.,,https://photos.app.goo.gl/yZqD7J8j2SxGR28EA,,
,Upper Market,2,Saturn at No.154/Temple & Roosevelt.,,https://photos.app.goo.gl/UbaMb4BdBULDVr9P8,,
,Upper Market,1,Corbett & 17th St. The two steps serve the purpose of rounding the corner.,,https://photos.app.goo.gl/3Hc3EixUnbUeDQtJ8,,
,Upper Market,1,Roosevelt at 17th St. Rounding a corner.,,https://photos.app.goo.gl/7tNBEwh17zpuyKqz5,,
,Visitacion Valley,5,"Campbell/Elliot & Visitacion Ave. Unexpected, long, in open-space setting",,https://photos.app.goo.gl/JB8yevm5enMMvfT17,,
,Visitacion Valley,3,Beeman Lane/Wabash & San Bruno.,,https://photos.app.goo.gl/PjbZhTYcVx5X5Ddq8,,
,Visitacion Valley,3,Campbell/San Bruno & Bayshore.,,https://photos.app.goo.gl/Lq42UwWcJWy8Nymu8,,
,Visitacion Valley,3,Hollywood Park. Nice views.,,https://photos.app.goo.gl/rccAVxJAJQGsACTU9,,
,Visitacion Valley,3,"San Bruno to Bayshore Blvd., near Arletta. See the inscription ""SAFETY SUBWAY"" on the concrete wall of corner staircase.",,https://photos.app.goo.gl/V1KtkLAc3zWrdy9V9,,
,Visitacion Valley,3,Visitacion Valley Greenway Children's Play Garden. Leland/Teddy & Campbell Aves.,,https://photos.app.goo.gl/kQT2ZeDvUTVxcMn56,,
,Visitacion Valley,3,Visitacion Valley Greenway Herb Garden/Arleta & Teddy.,,https://photos.app.goo.gl/MiuMbc9jteMXuFhE9,,
,Visitacion Valley,2,"Delta and Tucker, at corner.",,https://photos.app.goo.gl/S3X3hKtuLKCm5Yhy5,,
,Visitacion Valley,2,Raymond Avenue at western end. Down to Leland Avenue and McLaren Park Community Garden.,,https://photos.app.goo.gl/D6rXuVn5KsYe6eeeA,,
,Visitacion Valley,2,"San Bruno Ave., near #3400",,https://photos.app.goo.gl/WZLW23DJFho3VVtPA,,
,Visitacion Valley,2,Visitacion Valley Greenway Agriculture Lot. Leland/Campbell & Tucker Aves.,,https://photos.app.goo.gl/iNZvJp7FnTNRMa6c9,,
,Visitacion Valley,2,Ward/Girard at No. 1093 & San Bruno.,,,,
,Visitacion Valley,1,Hahn Street between Visitacion Avenue and Sunnydale Avenue,,https://photos.app.goo.gl/g2ztM5Vp7eaFJMK87,,
,Visitacion Valley,1,Kelloch & Velasco Mini Park. Corner of Kelloch and Velasco. Photo by Brett Lider.,,https://photos.app.goo.gl/i9x4CdviYUr9RWFS8,,
,Visitacion Valley,1,Kelloch & Velasco Mini Park. Kelloch/Rey and Schwerin.,,"https://photos.app.goo.gl/LPMzLXvniG86eJjg7
Photo by Brett Lider",,
,Visitacion Valley,1,Kelloch & Velasco Mini Park. NW corner of park. Photo by Brett Lider.,,https://photos.app.goo.gl/uknMyqkJGysBjSRM7,,
,Visitacion Valley,1,Kelloch & Velasco Mini Park. Velasco/Accacia and Schwerin.,,https://photos.app.goo.gl/izXqySSBSvmp4jkS9,,
,Visitacion Valley,1,"San Bruno Ave., near #3400",,https://photos.app.goo.gl/WZLW23DJFho3VVtPA,,
,Western Addition,4,Cottage Row at Sutter to Bush/Webster & Fillmore.,,https://photos.app.goo.gl/vnLMH1JphzA8TFd99,,
,Western Addition,3,"Waller, between Laguna and Buchanan.",,https://photos.app.goo.gl/FsZ5QCtLoprtzvsA7,,
,Western Addition,2,Raymond Kimbell Playground. Pierce St./O'Farrell & Ellis Sts. Down to sports fields.,,https://photos.app.goo.gl/87S6rKLrNNXfciZw6,,
,Western Addition,1,"Fillmore & O'Farrell, in shopping center plaza.",,https://photos.app.goo.gl/jdHYX8y5qDrX2ESZ6,,
,Western Addition,1,Near 1275 Geary. Few steps. At intersection with Peter Yorke Way.,,https://photos.app.goo.gl/kVK3Ab5SwSWQF2fi9,,
,Yerba Buena Island,3,Bay Bridge Trail Lookout,26,https://photos.app.goo.gl/9poCNSBr7oSifGFz8,,
,,,,,,,
,,,,,1087,,<---total # of stairways with photos
